"","S.No","ApparentPower","Type","solar","SolarPercent","WindPercent","Net","peak","dsm","current"
"14150",21,0.486021272,"Individual1",TRUE,0.201203967537731,0,0.388231863765865,TRUE,0.0157601330429316,1.68796462506898
"14151",22,0.461023691,"Individual1",TRUE,0.371509677730501,0,0.289748928130464,FALSE,0,1.25977794839332
"14152",23,0.009921483,"Individual1",TRUE,0.181855814531446,0,0.00811720362767511,FALSE,0,0.035292189685544
"14153",24,0.150265217,"Individual1",FALSE,0,0,0.150265217,FALSE,0,0.653327030434783
"14154",25,0.644205593,"Individual1",FALSE,0,0,0.644205593,FALSE,0,2.8008938826087
"14155",26,0.502857257,"Individual1",FALSE,0,0,0.502857257,FALSE,0,2.1863359
"14156",27,0.051484929,"Individual1",FALSE,0,0,0.051484929,FALSE,0,0.223847517391304
"14157",28,0.220330375,"Individual1",FALSE,0,0,0.220330375,FALSE,0,0.957958152173913
"14158",29,0.514148363,"Individual1",FALSE,0,0,0.514148363,TRUE,0.0847937176004052,2.23542766521739
"14159",30,0.524607203,"Individual1",FALSE,0,0,0.524607203,TRUE,0.00472931247204542,2.2809008826087
"14160",31,0.987535623,"Individual1",FALSE,0,0,0.987535623,FALSE,0,4.29363314347826
"14161",32,0.864954604,"Individual1",FALSE,0,0,0.864954604,FALSE,0,3.76067219130435
"14162",33,0.585469659,"Individual1",FALSE,0,0,0.585469659,FALSE,0,2.54552025652174
"14163",34,0.004651283,"Individual1",FALSE,0,0,0.004651283,FALSE,0,0.0202229695652174
"14164",35,0.958183748,"Individual1",FALSE,0,0,0.958183748,FALSE,0,4.16601629565217
"14165",36,0.716930812,"Individual1",TRUE,0.170015856996179,0,0.595041205590854,TRUE,0.073072044365108,2.58713567648197
"14166",37,0.20544441,"Individual1",TRUE,0.399715700373054,0,0.123325053769121,FALSE,0,0.536195885952701
"14167",38,0.257031784,"Individual1",TRUE,0.19599879020825,0,0.206653865290932,FALSE,0,0.898495066482312
"14168",39,0.0740144,"Individual1",TRUE,0.127967163175344,0,0.0645429871978748,FALSE,0,0.280621683469021
"14169",40,0.117233557,"Individual1",TRUE,0.0252900205552578,0,0.114268717933704,FALSE,0,0.496820512755235
"14170",41,0.595232718,"Individual1",TRUE,0.2130127530545,0,0.468440558030707,FALSE,0,2.03669807839438
"14171",42,0.074654948,"Individual1",TRUE,0.371284400206059,0,0.0469367304094055,FALSE,0,0.204072740910458
"14172",43,0.908510431,"Individual1",TRUE,0.380092051252723,0,0.563192837696715,TRUE,0.0868075300939381,2.44866451172485
"14173",44,0.064872525,"Individual1",TRUE,0.351434719190002,0,0.0420740673934786,TRUE,0.0512337267398834,0.182930727797733
"14174",45,0.220342037,"Individual1",TRUE,0.0690343442372978,0,0.205130868967795,TRUE,0.00460186486598104,0.891873343338237
"14175",46,0.874132036,"Individual1",TRUE,0.0783931433223188,0,0.805606078019222,TRUE,0.0466968560824171,3.5026351218227
"14176",47,0.781567513,"Individual1",TRUE,0.25095699634403,0,0.585427677497447,TRUE,0.0319516599876806,2.54533772824977
"14177",48,0.835588985,"Individual1",FALSE,0,0,0.835588985,TRUE,0.0392456941539422,3.63299558695652
"14178",49,0.335531577,"Individual1",FALSE,0,0,0.335531577,FALSE,0,1.45883294347826
"14179",50,0.314322756,"Individual1",FALSE,0,0,0.314322756,TRUE,0.0355798517819494,1.36662067826087
"14180",51,0.138904389,"Individual1",FALSE,0,0,0.138904389,FALSE,0,0.603932126086956
"14181",52,0.936143752,"Individual1",FALSE,0,0,0.936143752,TRUE,0.0969021256314591,4.07019022608696
"14182",53,0.312692733,"Individual1",FALSE,0,0,0.312692733,TRUE,0.0338223902275786,1.35953362173913
"14183",54,0.500256769,"Individual1",FALSE,0,0,0.500256769,FALSE,0,2.17502943043478
"14184",55,0.442587145,"Individual1",FALSE,0,0,0.442587145,FALSE,0,1.92429193478261
"14185",56,0.580888875,"Individual1",FALSE,0,0,0.580888875,TRUE,0.0845373794203624,2.52560380434783
"14186",57,0.093639038,"Individual1",FALSE,0,0,0.093639038,FALSE,0,0.407126252173913
"14187",58,0.874512094,"Individual1",FALSE,0,0,0.874512094,TRUE,0.0555661067599431,3.80222649565217
"14188",59,0.70802304,"Individual1",FALSE,0,0,0.70802304,FALSE,0,3.07836104347826
"14189",60,0.914546336,"Individual1",TRUE,0.215201169345528,0,0.717734895072132,TRUE,0.0150256939232349,3.12058650031362
"14190",61,0.808508586,"Individual1",TRUE,0.224083937238902,0,0.627334798757663,TRUE,0.0622527859639376,2.72754260329419
"14191",62,0.541489936,"Individual1",TRUE,0.201764219347388,0,0.432236641778493,TRUE,0.0705382043495774,1.87928974686301
"14192",63,0.855894317,"Individual1",TRUE,0.0939665272831917,0,0.775468900310091,TRUE,0.0207793271634728,3.3716039143917
"14193",64,0.931152068,"Individual1",TRUE,0.190182383172214,0,0.754063348612025,FALSE,0,3.27853629831315
"14194",65,0.872790317,"Individual1",TRUE,0.306820939481258,0,0.604999971967915,TRUE,0.0183967897668481,2.63043466073006
"14195",66,0.710278288,"Individual1",TRUE,0.283813617099077,0,0.50869163793578,FALSE,0,2.21170277363383
"14196",67,0.995865222,"Individual1",TRUE,0.290543941501528,0,0.706522615195826,TRUE,0.0189022863283753,3.07183745737316
"14197",68,0.232820004,"Individual1",TRUE,0.284236519224942,0,0.166644056457103,TRUE,0.073313434002921,0.724539375900448
"14198",69,0.638586325,"Individual1",TRUE,0.11299542048946,0,0.566428994687806,TRUE,0.0982575011439621,2.4627347595122
"14199",70,0.174720325,"Individual1",TRUE,0.372566601634026,0,0.109625367278358,FALSE,0,0.476632031645033
"14200",71,0.809109809,"Individual1",TRUE,0.227611836791039,0,0.624946839207864,FALSE,0,2.71716017046897
"14201",72,0.16758714,"Individual1",FALSE,0,0,0.16758714,FALSE,0,0.728639739130435
"14202",73,0.789853463,"Individual1",FALSE,0,0,0.789853463,TRUE,0.0666719022439793,3.43414549130435
"14203",74,0.530454365,"Individual1",FALSE,0,0,0.530454365,TRUE,0.0271024456480518,2.30632332608696
"14204",75,0.616051501,"Individual1",FALSE,0,0,0.616051501,TRUE,0.00777611201629043,2.67848478695652
"14205",76,0.189482582,"Individual1",FALSE,0,0,0.189482582,FALSE,0,0.823837313043478
"14206",77,0.198795614,"Individual1",FALSE,0,0,0.198795614,FALSE,0,0.864328756521739
"14207",78,0.09598323,"Individual1",FALSE,0,0,0.09598323,TRUE,0.0260595838539302,0.417318391304348
"14208",79,0.222111817,"Individual1",FALSE,0,0,0.222111817,TRUE,0.0502492842031643,0.965703552173913
"14209",80,0.349370313,"Individual1",FALSE,0,0,0.349370313,FALSE,0,1.51900136086957
"14210",81,0.316524068,"Individual1",FALSE,0,0,0.316524068,FALSE,0,1.3761916
"14211",82,0.02689155,"Individual1",FALSE,0,0,0.02689155,FALSE,0,0.116919782608696
"14212",83,0.656327692,"Individual1",FALSE,0,0,0.656327692,FALSE,0,2.85359866086957
"14213",84,0.743190834,"Individual1",TRUE,0.00840104520320892,0,0.736947254208955,TRUE,0.0382547436282039,3.20411849656068
"14214",85,0.890062165,"Individual1",TRUE,0.269341454375535,0,0.650331526994262,TRUE,0.0299771544290707,2.82752837823592
"14215",86,0.047459603,"Individual1",TRUE,0.372378601599485,0,0.0297866624023933,FALSE,0,0.129507227836493
"14216",87,0.287114672,"Individual1",TRUE,0.0887375723570585,0,0.261636813018627,TRUE,0.0516043326817453,1.13755136095055
"14217",88,0.757803927,"Individual1",TRUE,0.0920326727442443,0,0.688061206182106,TRUE,0.082604876277037,2.99157046166133
"14218",89,0.861312216,"Individual1",TRUE,0.216387821733952,0,0.674934741746917,TRUE,0.0453107548877597,2.93449887716051
"14219",90,0.103259684,"Individual1",TRUE,0.0866800428368151,0,0.094309130167564,FALSE,0,0.410039696380713
"14220",91,0.73242082,"Individual1",TRUE,0.0731498951092362,0,0.678844313841179,FALSE,0,2.95149701670078
"14221",92,0.48232489,"Individual1",TRUE,0.299139584973454,0,0.338042422583033,FALSE,0,1.46974966340449
"14222",93,0.19404079,"Individual1",TRUE,0.219663327839226,0,0.151417144332048,TRUE,0.0521775688277558,0.658335410139338
"14223",94,0.81219212,"Individual1",TRUE,0.187248647399247,0,0.660110244101673,TRUE,0.0897726108320057,2.87004453957249
"14224",95,0.08724133,"Individual1",TRUE,0.0314024025574327,0,0.0845017426356942,FALSE,0,0.367398881024757
"14225",96,0.042759731,"Individual1",FALSE,0,0,0.042759731,TRUE,0.0550515880808234,0.185911873913043
"14226",97,0.429138188,"Individual1",FALSE,0,0,0.429138188,FALSE,0,1.86581820869565
"14227",98,0.546137865,"Individual1",FALSE,0,0,0.546137865,TRUE,0.0406849024118856,2.37451245652174
"14228",99,0.038431886,"Individual1",FALSE,0,0,0.038431886,FALSE,0,0.167095156521739
"14229",100,0.69355055,"Individual1",FALSE,0,0,0.69355055,TRUE,0.0307281494140625,3.01543717391304
"14230",101,0.50253177,"Individual1",FALSE,0,0,0.50253177,FALSE,0,2.18492073913044
"14231",102,0.803719212,"Individual1",FALSE,0,0,0.803719212,TRUE,0.0301231499295682,3.49443135652174
"14232",103,0.476132182,"Individual1",FALSE,0,0,0.476132182,FALSE,0,2.07013992173913
"14233",104,0.25813264,"Individual1",FALSE,0,0,0.25813264,FALSE,0,1.12231582608696
"14234",105,0.198424868,"Individual1",FALSE,0,0,0.198424868,TRUE,0.0215533850016072,0.862716817391304
"14235",106,0.401267136,"Individual1",FALSE,0,0,0.401267136,TRUE,0.0309142014710233,1.74463972173913
"14236",107,0.127853486,"Individual1",FALSE,0,0,0.127853486,FALSE,0,0.55588472173913
"14237",108,0.047120508,"Individual1",TRUE,0.0894041090272367,0,0.0429077409653492,FALSE,0,0.186555395501518
"14238",109,0.599168303,"Individual1",TRUE,0.375776948966086,0,0.374014666181473,TRUE,0.0073921971488744,1.62615072252814
"14239",110,0.594273495,"Individual1",TRUE,0.370552921574563,0,0.374063715213424,TRUE,0.00697939705569297,1.6263639791888
"14240",111,0.256795669,"Individual1",TRUE,0.110592017881572,0,0.228396117782042,TRUE,0.00658428240567446,0.993026599052355
"14241",112,0.824183173,"Individual1",TRUE,0.234127054084092,0,0.63121959467983,TRUE,0.0164720565313473,2.74443302034709
"14242",113,0.058471413,"Individual1",TRUE,0.343571546301246,0,0.0383822992211712,FALSE,0,0.166879561831179
"14243",114,0.899435133,"Individual1",TRUE,0.0660265353508294,0,0.840048547395198,TRUE,0.0420086276484653,3.65238498867477
"14244",115,0.547140871,"Individual1",TRUE,0.00788671458140016,0,0.542825727114604,TRUE,0.034234402445145,2.36011185702002
"14245",116,0.632791337,"Individual1",TRUE,0.152084634546191,0,0.53655349776836,FALSE,0,2.33284129464504
"14246",117,0.953285714,"Individual1",TRUE,0.0205468309111893,0,0.933698713624389,TRUE,0.0263802114408463,4.05955962445387
"14247",118,0.556156599,"Individual1",TRUE,0.3910933310166,0,0.338647462130226,TRUE,0.0606635339558125,1.47238027013142
"14248",119,0.439681648,"Individual1",TRUE,0.193196661956608,0,0.35473662128282,TRUE,0.0297890775138512,1.54233313601226
"14249",120,0.984585938,"Individual1",FALSE,0,0,0.984585938,TRUE,0.0257998402230442,4.28080842608696
"14250",121,0.367782104,"Individual1",FALSE,0,0,0.367782104,FALSE,0,1.59905262608696
"14251",122,0.208568138,"Individual1",FALSE,0,0,0.208568138,FALSE,0,0.906817991304348
"14252",123,0.168859097,"Individual1",FALSE,0,0,0.168859097,FALSE,0,0.734169986956522
"14253",124,0.59656811,"Individual1",FALSE,0,0,0.59656811,TRUE,0.0954267255263403,2.59377439130435
"14254",125,0.08522856,"Individual1",FALSE,0,0,0.08522856,FALSE,0,0.370558956521739
"14255",126,0.78486955,"Individual1",FALSE,0,0,0.78486955,FALSE,0,3.41247630434783
"14256",127,0.404871211,"Individual1",FALSE,0,0,0.404871211,FALSE,0,1.76030961304348
"14257",128,0.851051945,"Individual1",FALSE,0,0,0.851051945,TRUE,0.0880841831443831,3.70022584782609
"14258",129,0.330093365,"Individual1",FALSE,0,0,0.330093365,TRUE,0.0957129936432466,1.43518854347826
"14259",130,0.459743228,"Individual1",FALSE,0,0,0.459743228,FALSE,0,1.9988836
"14260",131,0.043034251,"Individual1",FALSE,0,0,0.043034251,FALSE,0,0.187105439130435
"14261",132,0.123384738,"Individual1",TRUE,0.335456866957247,0,0.0819944803601792,FALSE,0,0.356497740696431
"14262",133,0.061812058,"Individual1",TRUE,0.133536114823073,0,0.0535579159254615,FALSE,0,0.232860504023746
"14263",134,0.424815051,"Individual1",TRUE,0.232196589745581,0,0.326174444885205,FALSE,0,1.41814976037046
"14264",135,0.004057094,"Individual1",TRUE,0.387125270441175,0,0.00248649038804473,TRUE,0.0631171351531521,0.0108108277741075
"14265",136,0.254867513,"Individual1",TRUE,0.390144125465304,0,0.155432450031098,FALSE,0,0.675793261004774
"14266",137,0.944349939,"Individual1",TRUE,0.209717717766762,0,0.746303025019739,TRUE,0.0762674240628257,3.24479576095539
"14267",138,0.62836784,"Individual1",TRUE,0.184644531924278,0,0.512343154306931,TRUE,0.0201460013398901,2.22757893176926
"14268",139,0.039336323,"Individual1",TRUE,0.13330279737711,0,0.0340926811055705,FALSE,0,0.148229048285089
"14269",140,0.457559205,"Individual1",TRUE,0.163848816417158,0,0.382588670819974,FALSE,0,1.66342900356511
"14270",141,0.963115388,"Individual1",TRUE,0.154905551951379,0,0.813923467228994,FALSE,0,3.53879768360432
"14271",142,0.121754519,"Individual1",TRUE,0.175606459658593,0,0.100373638970975,FALSE,0,0.436407125960761
"14272",143,0.136787987,"Individual1",TRUE,0.298721315525472,0,0.0959264995752788,TRUE,0.0793744393624365,0.417071737283821
"14273",144,0.45822581,"Individual1",FALSE,0,0,0.45822581,TRUE,0.097517021629028,1.99228613043478
"14274",145,0.42785871,"Individual1",FALSE,0,0,0.42785871,TRUE,0.0327266591833904,1.86025526086957
"14275",146,0.094561724,"Individual1",FALSE,0,0,0.094561724,TRUE,0.0479533485602587,0.411137930434783
"14276",147,0.009907245,"Individual1",FALSE,0,0,0.009907245,FALSE,0,0.0430749782608696
"14277",148,0.320626918,"Individual1",FALSE,0,0,0.320626918,FALSE,0,1.39403007826087
"14278",149,0.62588818,"Individual1",FALSE,0,0,0.62588818,FALSE,0,2.72125295652174
"14279",150,0.61192833,"Individual1",FALSE,0,0,0.61192833,TRUE,0.0368279932066798,2.66055795652174
"14280",151,0.465762777,"Individual1",FALSE,0,0,0.465762777,TRUE,0.0351711446652189,2.02505555217391
"14281",152,0.602829284,"Individual1",FALSE,0,0,0.602829284,TRUE,0.002633719262667,2.62099688695652
"14282",153,0.165300636,"Individual1",FALSE,0,0,0.165300636,FALSE,0,0.718698417391304
"14283",154,0.654364665,"Individual1",FALSE,0,0,0.654364665,TRUE,0.0648223689524457,2.84506376086957
"14284",155,0.310955477,"Individual1",FALSE,0,0,0.310955477,FALSE,0,1.35198033478261
"14285",156,0.549136705,"Individual1",TRUE,0.0132769155316055,0,0.541845863352411,FALSE,0,2.35585157979309
"14286",157,0.162515685,"Individual1",TRUE,0.267671583220363,0,0.119014854297908,FALSE,0,0.517455888251775
"14287",158,0.08822273,"Individual1",TRUE,0.336911208089441,0,0.0584995034547514,FALSE,0,0.254345667194571
"14288",159,0.90696203,"Individual1",TRUE,0.34174628527835,0,0.597011125358988,TRUE,0.0970522597432137,2.59570054503908
"14289",160,0.982560479,"Individual1",TRUE,0.223283104412258,0,0.763171324976085,FALSE,0,3.3181361955482
"14290",161,0.064082787,"Individual1",TRUE,0.262237948924303,0,0.047277848375767,TRUE,0.078377727419138,0.205555862503335
"14291",162,0.867086366,"Individual1",TRUE,0.398280478920788,0,0.521742792883835,FALSE,0,2.26844692558189
"14292",163,0.574709309,"Individual1",TRUE,0.336892286688089,0,0.381094175710058,TRUE,0.0715130446711555,1.65693119873938
"14293",164,0.793402033,"Individual1",TRUE,0.145066352747381,0,0.678306093810333,TRUE,0.0962822574889287,2.94915692961014
"14294",165,0.239680196,"Individual1",TRUE,0.00226969886571169,0,0.239136194131005,FALSE,0,1.03972258317828
"14295",166,0.608380021,"Individual1",TRUE,0.165229084901512,0,0.507857946857807,FALSE,0,2.20807802981655
"14296",167,0.90171222,"Individual1",TRUE,0.296793751511723,0,0.634089667442236,FALSE,0,2.75691159757494
"14297",168,0.815675718,"Individual1",FALSE,0,0,0.815675718,FALSE,0,3.54641616521739
"14298",169,0.121067066,"Individual1",FALSE,0,0,0.121067066,FALSE,0,0.526378547826087
"14299",170,0.648621501,"Individual1",FALSE,0,0,0.648621501,FALSE,0,2.8200934826087
"14300",171,0.018572669,"Individual1",FALSE,0,0,0.018572669,TRUE,0.0844826478511095,0.0807507347826087
"14301",172,0.917046704,"Individual1",FALSE,0,0,0.917046704,TRUE,0.0119214460719377,3.9871595826087
"14302",173,0.709209017,"Individual1",FALSE,0,0,0.709209017,FALSE,0,3.08351746521739
"14303",174,0.977983994,"Individual1",FALSE,0,0,0.977983994,TRUE,0.0943560736486688,4.25210432173913
"14304",175,0.214435819,"Individual1",FALSE,0,0,0.214435819,TRUE,0.0459523037774488,0.932329647826087
"14305",176,0.799720535,"Individual1",FALSE,0,0,0.799720535,TRUE,0.0594148139236495,3.47704580434783
"14306",177,0.322837635,"Individual1",FALSE,0,0,0.322837635,TRUE,0.0369696415960789,1.40364189130435
"14307",178,0.485241904,"Individual1",FALSE,0,0,0.485241904,FALSE,0,2.10974740869565
"14308",179,0.870007364,"Individual1",FALSE,0,0,0.870007364,TRUE,0.0388791800010949,3.78264071304348
"14309",180,0.051409645,"Individual1",TRUE,0.0826050759293139,0,0.0471629473712759,TRUE,0.0478972001699731,0.205056292918591
"14310",181,0.953352107,"Individual1",TRUE,0.0855107924900949,0,0.871830212808328,FALSE,0,3.79056614264491
"14311",182,0.413930559,"Individual1",TRUE,0.188535501249135,0,0.335889953576601,FALSE,0,1.46039110250696
"14312",183,0.771891568,"Individual1",TRUE,0.100253900326788,0,0.69450642767864,TRUE,0.0929268130334094,3.01959316382017
"14313",184,0.258809249,"Individual1",TRUE,0.104232169035822,0,0.231832999610198,TRUE,0.0238878106931224,1.0079695635226
"14314",185,0.794186055,"Individual1",TRUE,0.226686029229313,0,0.614155171722757,FALSE,0,2.67023987705547
"14315",186,0.185334737,"Individual1",TRUE,0.334208435565233,0,0.123394304491336,FALSE,0,0.536496976049287
"14316",187,0.766265752,"Individual1",TRUE,0.30398425264284,0,0.533333030052476,TRUE,0.0200578740565106,2.31883926109772
"14317",188,0.608326536,"Individual1",TRUE,0.131079433206469,0,0.528587438456665,FALSE,0,2.29820625415941
"14318",189,0.217323248,"Individual1",TRUE,0.330794315971434,0,0.14543395283315,TRUE,0.0605436311801896,0.632321534057172
"14319",190,0.98292013,"Individual1",TRUE,0.349890936911106,0,0.639005284805514,FALSE,0,2.7782838469805
"14320",191,0.609017962,"Individual1",TRUE,0.10450343452394,0,0.54537349328423,TRUE,0.0317690957337618,2.37118910123578
"14321",192,0.609230823,"Individual1",FALSE,0,0,0.609230823,FALSE,0,2.64882966521739
"14322",193,0.301622792,"Individual1",FALSE,0,0,0.301622792,FALSE,0,1.31140344347826
"14323",194,0.693765699,"Individual1",FALSE,0,0,0.693765699,TRUE,0.0281483613187447,3.01637260434783
"14324",195,0.996483939,"Individual1",FALSE,0,0,0.996483939,TRUE,0.0200738370185718,4.33253886521739
"14325",196,0.898831815,"Individual1",FALSE,0,0,0.898831815,FALSE,0,3.90796441304348
"14326",197,0.582408047,"Individual1",FALSE,0,0,0.582408047,TRUE,0.0892322491155937,2.5322089
"14327",198,0.725110587,"Individual1",FALSE,0,0,0.725110587,FALSE,0,3.15265472608696
"14328",199,0.685723279,"Individual1",FALSE,0,0,0.685723279,TRUE,0.00544418529607356,2.98140556086957
"14329",200,0.171527047,"Individual1",FALSE,0,0,0.171527047,FALSE,0,0.745769769565217
"14330",201,0.847828337,"Individual1",FALSE,0,0,0.847828337,TRUE,0.0576963076600805,3.68621016086957
"14331",202,0.031985921,"Individual1",FALSE,0,0,0.031985921,FALSE,0,0.13906922173913
"14332",203,0.186627492,"Individual1",FALSE,0,0,0.186627492,TRUE,0.00307923727668822,0.81142387826087
"14333",204,0.425060224,"Individual1",TRUE,0.290512860193849,0,0.301574762571122,TRUE,0.0759458460146561,1.31119461987444
"14334",205,0.224156161,"Individual1",TRUE,0.244281159900129,0,0.16939903399216,FALSE,0,0.736517539096348
"14335",206,0.490966417,"Individual1",TRUE,0.000170003157109022,0,0.490882951159075,TRUE,0.0313203973695636,2.13427370069163
"14336",207,0.566175,"Individual1",TRUE,0.221352835558355,0,0.440850558327748,TRUE,0.0119734090520069,1.91674155794673
"14337",208,0.554399808,"Individual1",TRUE,0.367245583888143,0,0.350798926803565,FALSE,0,1.52521272523289
"14338",209,0.574182557,"Individual1",TRUE,0.311074247024953,0,0.395569150426363,TRUE,0.0608026762492955,1.71986587141897
"14339",210,0.412678817,"Individual1",TRUE,0.101894976291806,0,0.370628918725655,TRUE,0.0443746655946597,1.61143008141589
"14340",211,0.515262723,"Individual1",TRUE,0.280100802239031,0,0.370937220923833,FALSE,0,1.61277052575579
"14341",212,0.274983395,"Individual1",TRUE,0.0261516716331244,0,0.267792119549398,TRUE,0.0269585098838434,1.16431356325825
"14342",213,0.510302603,"Individual1",TRUE,0.0688196966424584,0,0.475183732665683,TRUE,0.0502967444015667,2.06601622898123
"14343",214,0.041832143,"Individual1",TRUE,0.203921086527407,0,0.0333016869476701,FALSE,0,0.14478994325074
"14344",215,0.925814279,"Individual1",TRUE,0.362450386397541,0,0.59025253584409,TRUE,0.0612482908880338,2.56631537323517
"14345",216,0.202697558,"Individual1",FALSE,0,0,0.202697558,FALSE,0,0.881293730434783
"14346",217,0.515284579,"Individual1",FALSE,0,0,0.515284579,FALSE,0,2.24036773478261
"14347",218,0.143307332,"Individual1",FALSE,0,0,0.143307332,TRUE,0.0522368311416358,0.623075356521739
"14348",219,0.182898253,"Individual1",FALSE,0,0,0.182898253,FALSE,0,0.795209795652174
"14349",220,0.801668238,"Individual1",FALSE,0,0,0.801668238,TRUE,0.00198389303404838,3.48551407826087
"14350",221,0.005687073,"Individual1",FALSE,0,0,0.005687073,FALSE,0,0.0247264043478261
"14351",222,0.87531707,"Individual1",FALSE,0,0,0.87531707,TRUE,0.0840136055601761,3.80572639130435
"14352",223,0.734655849,"Individual1",FALSE,0,0,0.734655849,TRUE,0.0518331550527364,3.19415586521739
"14353",224,0.131890764,"Individual1",FALSE,0,0,0.131890764,TRUE,0.0078276754822582,0.573438104347826
"14354",225,0.523143903,"Individual1",FALSE,0,0,0.523143903,FALSE,0,2.27453870869565
"14355",226,0.838223136,"Individual1",FALSE,0,0,0.838223136,FALSE,0,3.6444484173913
"14356",227,0.270387681,"Individual1",FALSE,0,0,0.270387681,FALSE,0,1.17559861304348
"14357",228,0.178088391,"Individual1",TRUE,0.320239182095975,0,0.121057510325372,TRUE,0.0223629237618297,0.52633700141466
"14358",229,0.415839391,"Individual1",TRUE,0.131295387167484,0,0.361241597159164,FALSE,0,1.57061563982245
"14359",230,0.90677066,"Individual1",TRUE,0.00514085283502936,0,0.902109085481817,TRUE,0.0509517282480374,3.92221341513834
"14360",231,0.430723854,"Individual1",TRUE,0.0880269701592624,0,0.39280853815706,FALSE,0,1.70786320937852
"14361",232,0.875906512,"Individual1",TRUE,0.230893129575998,0,0.673665716228324,FALSE,0,2.92898137490576
"14362",233,0.860351012,"Individual1",TRUE,0.265691155381501,0,0.631763357588077,TRUE,0.00560445506125689,2.74679720690468
"14363",234,0.447316025,"Individual1",TRUE,0.155200566072017,0,0.377892324706916,FALSE,0,1.64301010742137
"14364",235,0.216113409,"Individual1",TRUE,0.0849032671190798,0,0.197764674507658,FALSE,0,0.859846410902861
"14365",236,0.646608012,"Individual1",TRUE,0.21507482426241,0,0.507538907452433,TRUE,0.0934834875632077,2.2066909019671
"14366",237,0.992001338,"Individual1",TRUE,0.278546324092895,0,0.715683011804867,TRUE,0.00236963480710983,3.11166526871681
"14367",238,0.014819045,"Individual1",TRUE,0.158891569823027,0,0.0124644236766719,TRUE,0.0529391766758636,0.0541931464203127
"14368",239,0.545798633,"Individual1",TRUE,0.290974842105061,0,0.386984961941667,FALSE,0,1.68254331278986
"14369",240,0.425695998,"Individual1",FALSE,0,0,0.425695998,TRUE,0.018029810488224,1.85085216521739
"14370",241,0.137066126,"Individual1",FALSE,0,0,0.137066126,TRUE,0.0764346120879054,0.59593967826087
"14371",242,0.439358248,"Individual1",FALSE,0,0,0.439358248,TRUE,0.0370304354932159,1.91025325217391
"14372",243,0.048891717,"Individual1",FALSE,0,0,0.048891717,FALSE,0,0.212572682608696
"14373",244,0.28694154,"Individual1",FALSE,0,0,0.28694154,FALSE,0,1.24757191304348
"14374",245,0.662482933,"Individual1",FALSE,0,0,0.662482933,TRUE,0.0840261407662183,2.88036057826087
"14375",246,0.21503405,"Individual1",FALSE,0,0,0.21503405,TRUE,0.0312409100821242,0.934930652173913
"14376",247,0.487778481,"Individual1",FALSE,0,0,0.487778481,TRUE,0.0684616739163175,2.12077600434783
"14377",248,0.248803749,"Individual1",FALSE,0,0,0.248803749,FALSE,0,1.08175543043478
"14378",249,0.172359762,"Individual1",FALSE,0,0,0.172359762,FALSE,0,0.749390269565217
"14379",250,0.76381328,"Individual1",FALSE,0,0,0.76381328,TRUE,0.0200699307024479,3.32092730434783
"14380",251,0.894577928,"Individual1",FALSE,0,0,0.894577928,TRUE,0.0909121555974707,3.88946925217391
